Service, Operation, UsageType, Resource, StartTime, EndTime, UsageValue
AmazonEC2,RunInstances,USW1-DataTransfer-Out-Bytes,,09/01/13 00:00:00,09/01/13 01:00:00,1488
AmazonEC2,RunInstances,USW1-BoxUsage:t1.micro,,09/01/13 00:00:00,09/01/13 01:00:00,3
AmazonEC2,EBS:IO-Read,USW1-EBS:VolumeIOUsage,,09/01/13 00:00:00,09/01/13 01:00:00,0
AmazonEC2,EBS:IO-Write,USW1-EBS:VolumeIOUsage,,09/01/13 00:00:00,09/01/13 01:00:00,42
AmazonEC2,PublicIP-In,USW1-DataTransfer-Regional-Bytes,,09/01/13 00:00:00,09/01/13 01:00:00,192
AmazonEC2,CreateVolume,USW1-EBS:VolumeUsage,,09/01/13 00:00:00,09/01/13 01:00:00,90194313216
AmazonEC2,RunInstances,USW1-DataTransfer-In-Bytes,,09/01/13 00:00:00,09/01/13 01:00:00,2954
AmazonEC2,RunInstances,USW1-BoxUsage:t1.micro,,09/01/13 01:00:00,09/01/13 02:00:00,3
AmazonEC2,EBS:IO-Read,USW1-EBS:VolumeIOUsage,,09/01/13 01:00:00,09/01/13 02:00:00,7
AmazonEC2,EBS:IO-Write,USW1-EBS:VolumeIOUsage,,09/01/13 01:00:00,09/01/13 02:00:00,612
AmazonEC2,PublicIP-In,USW1-DataTransfer-Regional-Bytes,,09/01/13 01:00:00,09/01/13 02:00:00,192
AmazonEC2,CreateVolume,USW1-EBS:VolumeUsage,,09/01/13 01:00:00,09/01/13 02:00:00,90194313216
AmazonEC2,RunInstances,USW1-DataTransfer-In-Bytes,,09/01/13 01:00:00,09/01/13 02:00:00,635798
AmazonEC2,RunInstances,USW1-DataTransfer-Out-Bytes,,09/01/13 01:00:00,09/01/13 02:00:00,1357469
AmazonEC2,RunInstances,USW1-BoxUsage:t1.micro,,09/01/13 02:00:00,09/01/13 03:00:00,3
AmazonEC2,EBS:IO-Read,USW1-EBS:VolumeIOUsage,,09/01/13 02:00:00,09/01/13 03:00:00,0
AmazonEC2,EBS:IO-Write,USW1-EBS:VolumeIOUsage,,09/01/13 02:00:00,09/01/13 03:00:00,109
AmazonEC2,CreateVolume,USW1-EBS:VolumeUsage,,09/01/13 02:00:00,09/01/13 03:00:00,90194313216
AmazonEC2,RunInstances,USW1-DataTransfer-In-Bytes,,09/01/13 02:00:00,09/01/13 03:00:00,294958
AmazonEC2,RunInstances,USW1-DataTransfer-Out-Bytes,,09/01/13 02:00:00,09/01/13 03:00:00,625213
AmazonEC2,RunInstances,USW1-BoxUsage:t1.micro,,09/01/13 03:00:00,09/01/13 04:00:00,3
AmazonEC2,EBS:IO-Read,USW1-EBS:VolumeIOUsage,,09/01/13 03:00:00,09/01/13 04:00:00,0
AmazonEC2,EBS:IO-Write,USW1-EBS:VolumeIOUsage,,09/01/13 03:00:00,09/01/13 04:00:00,141
AmazonEC2,CreateVolume,USW1-EBS:VolumeUsage,,09/01/13 03:00:00,09/01/13 04:00:00,90194313216
AmazonEC2,RunInstances,USW1-DataTransfer-In-Bytes,,09/01/13 03:00:00,09/01/13 04:00:00,2236
AmazonEC2,RunInstances,USW1-DataTransfer-Out-Bytes,,09/01/13 03:00:00,09/01/13 04:00:00,1064
AmazonEC2,RunInstances,USW1-BoxUsage:t1.micro,,09/01/13 04:00:00,09/01/13 05:00:00,3
AmazonEC2,EBS:IO-Read,USW1-EBS:VolumeIOUsage,,09/01/13 04:00:00,09/01/13 05:00:00,0
AmazonEC2,EBS:IO-Write,USW1-EBS:VolumeIOUsage,,09/01/13 04:00:00,09/01/13 05:00:00,40
AmazonEC2,CreateVolume,USW1-EBS:VolumeUsage,,09/01/13 04:00:00,09/01/13 05:00:00,90194313216
AmazonEC2,RunInstances,USW1-DataTransfer-In-Bytes,,09/01/13 04:00:00,09/01/13 05:00:00,1982
AmazonEC2,RunInstances,USW1-DataTransfer-Out-Bytes,,09/01/13 04:00:00,09/01/13 05:00:00,1208
AmazonEC2,RunInstances,USW1-BoxUsage:t1.micro,,09/01/13 05:00:00,09/01/13 06:00:00,3
AmazonEC2,EBS:IO-Read,USW1-EBS:VolumeIOUsage,,09/01/13 05:00:00,09/01/13 06:00:00,0
AmazonEC2,EBS:IO-Write,USW1-EBS:VolumeIOUsage,,09/01/13 05:00:00,09/01/13 06:00:00,38
AmazonEC2,CreateVolume,USW1-EBS:VolumeUsage,,09/01/13 05:00:00,09/01/13 06:00:00,90194313216
AmazonEC2,RunInstances,USW1-DataTransfer-In-Bytes,,09/01/13 05:00:00,09/01/13 06:00:00,1714
